Crop,Soil,Temperature,Soil Texture,Soil Colour,Drainage,Water holding capacity,Sunlight,Yield
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,32,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
Potato,Red,31,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
Potato,Red,36,Sandy,Red,High,Low,hgh,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
