,Crop,Soil,Temperature,Soil_Texture,Soil_Colour,Drainage,Water_holding_capacity,Sunlight,Yield
0,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
1,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
2,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
3,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
4,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
5,Chilli,Red,32,Sandy,Red,High,Low,hgh,Poor
6,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
7,Potato,Red,32,Sandy,Red,High,Low,hgh,Average
8,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
9,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
10,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
11,Tomato,Red,32,Sandy,Red,High,Low,hgh,Good
12,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
13,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
14,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
15,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
16,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
17,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
18,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
19,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
20,Chilli,Red,31,Sandy,Red,High,Low,hgh,Poor
21,Tomato,Red,31,Sandy,Red,High,Low,hgh,Good
22,Potato,Red,31,Sandy,Red,High,Low,hgh,Average
23,Chilli,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
24,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Good
25,Chilli,Red,36,Sandy,Red,High,Low,hgh,Poor
26,Tomato,Red,35,Sandy,Red,High,Low,hgh,Good
27,Potato,Red,36,Sandy,Red,High,Low,hgh,Average
28,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,hgh,Good
29,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,hgh,Good
30,Chilli,Red,34,Sandy,Red,High,Low,hgh,Poor
31,Tomato,Red,34,Sandy,Red,High,Low,hgh,Good
32,Potato,Red,35,Sandy,Red,High,Low,hgh,Average
